,Title,Published_date,Views,Likes,Comments,Month
193,Completely Unrealistic Jobs on LinkedIn | Alex The Analyst Show | Episode 11,2020-11-19,14155,561,204,Nov
194,Top 3 Tips on Using LinkedIn to Land a Job,2020-11-17,212669,8531,201,Nov
195,What is No Code Analytics? | Alex The Analyst Show | Episode 10,2020-11-12,3695,119,80,Nov
196,Solving LeetCode SQL Interview Questions | Part 1/3,2020-11-10,22764,609,64,Nov
197,What is Analytics Consulting? With John Ariansen | Alex The Analyst Show | Episode 9,2020-11-05,11906,351,115,Nov
198,Data Analyst Skills Path | What Skills You NEED to Know,2020-11-03,74406,3552,275,Nov
199,Data Analyst Q&A LIVE #4,2020-10-30,3412,105,25,Oct
200,Asking My Wife Your Questions About Me | Alex The Analyst Show | Episode 8,2020-10-27,13369,549,223,Oct
201,Top 10 Udemy Courses for Data Analysts,2020-10-22,137231,4284,275,Oct
202,Data Analyst Certifications | Are They Worth It? | Alex The Analyst Show | Episode 7,2020-10-20,175795,6173,990,Oct
203,Working at a Startup vs Fortune 500 Company | Alex The Analyst Show | Episode 6,2020-10-15,4493,171,72,Oct
204,Top 10 Coursera Courses for Data Analysts,2020-10-13,100536,4530,279,Oct
205,Imposter Syndrome in Tech | Alex The Analyst Show | Episode 5,2020-10-08,7016,355,178,Oct
206,Data Analyst Expectations vs Reality,2020-10-06,75085,2801,187,Oct
207,Covid and the Data Analyst Job Market | Alex The Analyst Show | Episode 4,2020-10-01,7099,255,164,Oct
208,Self Taught vs Boot Camp vs Degree | Alex The Analyst Show | Episode 3,2020-09-24,44175,1476,714,Sep
209,Top 5 Reasons You'll Be a Good Data Analyst,2020-09-22,14363,604,82,Sep
210,How I Changed Careers to Become a Data Analyst | Alex The Analyst Show | Episode 2,2020-09-10,412029,12113,3809,Sep
211,Top 5 Reasons Data Analytics is a Good Career Choice,2020-09-08,43760,1321,74,Sep
212,The Hiring Process from an Interviewer's Perspective | Alex The Analyst Show | Episode 1,2020-09-03,19067,659,83,Sep
213,Top 5 Reasons Not to Lie on Your Resume,2020-09-01,11253,201,117,Sep
214,Live Data Analyst Q&A #3,2020-08-29,2766,101,43,Aug
215,Data Analyst Career Path | How to Become a Data Analyst + What to Do Next,2020-08-20,128518,4647,273,Aug
216,Top 5 Reasons Not to Become a Data Analyst,2020-08-12,911595,19649,1053,Aug
217,Data Analyst Bootcamps | Are They Worth It?,2020-08-05,31760,550,91,Aug
218,What Does a Data Analyst Actually Do?,2020-07-29,828256,16597,448,Jul
219,Data Analyst Question and Answer | Answering Your YouTube Questions,2020-07-22,4093,164,67,Jul
220,Scraping Data Off Twitter Using Python | Twitterscraper + NLP + Data Visualization,2020-07-15,52217,1355,157,Jul
221,Data Analyst vs Business Analyst | Which Is Right For You?,2020-07-03,725350,18716,570,Jul
222,Best Free Online Courses for Data Analysts,2020-06-23,55797,2730,94,Jun
223,Best Online Courses for Data Analysts,2020-06-17,176714,9209,414,Jun
224,Data Scientist vs Data Analyst | Which Is Right For You?,2020-06-10,746549,23457,848,Jun
225,Intermediate SQL Tutorial | Aliasing,2020-06-04,95079,2852,78,Jun
226,Data Analyst Q&A LIVE,2020-05-31,9096,244,54,May
227,Data Analyst Interviews | Salary Negotiation,2020-05-27,23435,745,26,May
228,Data Analyst Interview Questions | What To Say vs What NOT To Say,2020-05-20,63095,1545,33,May
229,SQL Interview Questions and Answers for Beginners | Data Analyst Interview Questions,2020-05-13,106726,2885,103,May
230,Data Analyst Interview Questions | Phone + In-Person Interview Questions,2020-05-06,72177,1492,65,May
231,Day in the Life of a Data Analyst | Fortune 500 Edition (During Quarantine),2020-04-23,14927,519,51,Apr
232,Intermediate SQL Tutorial | Updating/Deleting Data,2020-04-16,97584,2459,114,Apr
233,Intermediate SQL Tutorial | Having Clause,2020-04-09,114119,3330,63,Apr
234,Intermediate SQL Tutorial | Case Statement | Use Cases,2020-04-02,201499,5318,341,Apr
235,Intermediate SQL Tutorial | Unions | Union Operator,2020-03-26,172710,3714,136,Mar
236,Intermediate SQL Tutorial | Inner/Outer Joins | Use Cases,2020-03-19,349537,6436,356,Mar
237,Day in the Life of a Data Analyst | Fortune 500 Edition,2020-03-11,123675,2542,270,Mar
238,SQL Basics Tutorial For Beginners | Group By + Order By Statements | 4/4,2020-03-03,217636,6065,210,Mar
239,SQL Basics Tutorial For Beginners | Where Statement | 3/4,2020-03-02,228650,4439,120,Mar
240,SQL Basics Tutorial For Beginners | Select + From Statements | 2/4,2020-03-01,333648,5356,229,Mar
241,SQL Basics Tutorial For Beginners | Installing SQL Server Management Studio and Create Tables | 1/4,2020-03-01,979117,13894,1567,Mar
242,Data Analyst Fact Check |  84k Average Starting Salary?? | The Career Force 2020 Data Analyst Salary,2020-02-26,25320,845,162,Feb
243,Data Analyst Resume | Reviewing YOUR Data Analyst Resumes!,2020-02-24,23472,510,39,Feb
244,Data Analyst Salary in 2020,2020-02-19,7952,154,25,Feb
245,Working With a Recruiter to Land Your First Job as a Data Analyst | LinkedIn Recruiters,2020-02-14,12793,568,39,Feb
246,Switching Careers to Become a Data Analyst | How I Made the Switch,2020-02-11,47949,1757,247,Feb
247,Data Analyst Resume | Complete Guide To Creating A Data Analyst Resume | Tips + Templates + Examples,2020-02-06,111774,3308,97,Feb
248,Data Analyst Resume | Reviewing My Resume! | Fortune 500 Data Analyst,2020-01-30,64694,1555,64,Jan
249,Working at a Big Company Vs Small Company | Told by a Fortune 500 Data Analyst,2020-01-25,14250,393,20,Jan
250,Data Analyst Salary | 100k with No Experience,2020-01-23,61358,2129,226,Jan
251,Truth About Big Companies | Told by a Fortune 500 Data Analyst,2020-01-21,7852,296,18,Jan
252,Top 3 Data Analyst Skills in 2020,2020-01-17,27402,1350,138,Jan
